524288 1 0.134713464
524288 2 0.149628825
524288 4 0.152712271
524288 8 0.167201478
524288 16 0.181588109
524288 32 0.152507610
1048576 1 0.245639043
1048576 2 0.253990322
1048576 4 0.256417840
1048576 8 0.257871621
1048576 16 0.234904420
1048576 32 0.262916012
2097152 1 0.425408156
2097152 2 0.452213917
2097152 4 0.499324874
2097152 8 0.502521305
2097152 16 0.503199989
2097152 32 0.477734708
4194304 1 0.814890461
4194304 2 0.986593050
4194304 4 0.949080653
4194304 8 0.998386302
4194304 16 1.060791068
4194304 32 1.044036398
8388608 1 1.712455515
8388608 2 2.043431194
8388608 4 2.036533242
8388608 8 2.044867301
8388608 16 2.007860865
8388608 32 2.021780239
16777216 1 3.658060653
16777216 2 4.128054476
16777216 4 4.098424974
16777216 8 4.047439784
16777216 16 4.292164757
16777216 32 4.146790952
