100 1 0.000085627
100 2 0.000117865
100 4 0.000352462
100 8 0.000262033
100 16 0.000580524
100 32 0.000364156
1000 1 0.000087343
1000 2 0.000155263
1000 4 0.000265310
1000 8 0.000301179
1000 16 0.000475414
1000 32 0.000537327
10000 1 0.000163977
10000 2 0.000211008
10000 4 0.000331720
10000 8 0.000499870
10000 16 0.000282072
10000 32 0.000475673
100000 1 0.000857537
100000 2 0.000914766
100000 4 0.001059517
100000 8 0.001186662
100000 16 0.001255241
100000 32 0.001507458
1000000 1 0.007122765
1000000 2 0.007275195
1000000 4 0.007445522
1000000 8 0.008027591
1000000 16 0.008615371
1000000 32 0.009351854
10000000 1 0.069812276
10000000 2 0.069776934
10000000 4 0.070615878
10000000 8 0.071377846
10000000 16 0.072893294
10000000 32 0.075181543
100000000 1 0.712218015
100000000 2 0.699053879
100000000 4 0.696305891
100000000 8 0.706317173
100000000 16 0.701957758
100000000 32 0.704612400
838860800 1 5.803282941
838860800 2 5.815963092
838860800 4 5.758451174
838860800 8 5.761866947
838860800 16 5.811146165
838860800 32 5.768299430
1382875136 1 7.135129661
1382875136 2 7.421721446
1382875136 4 7.467946048
1382875136 8 6.984235512
1382875136 16 7.056611324
1382875136 32 7.044795344
100 1 0.000028121
100 2 0.000044636
100 4 0.000096140
100 8 0.000066850
100 16 0.000109148
100 32 0.000256885
1000 1 0.000038606
1000 2 0.000088547
1000 4 0.000051021
1000 8 0.000080689
1000 16 0.000163645
1000 32 0.000230112
10000 1 0.000098242
10000 2 0.000154156
10000 4 0.000119198
10000 8 0.000174057
10000 16 0.000192583
10000 32 0.000296455
100000 1 0.006300805
100000 2 0.000855919
100000 4 0.000808796
100000 8 0.002763748
100000 16 0.003054656
100000 32 0.002851279
1000000 1 0.022131070
1000000 2 0.016101501
1000000 4 0.007602613
1000000 8 0.007888809
1000000 16 0.007932704
1000000 32 0.007629352
10000000 1 0.100820059
10000000 2 0.075840856
10000000 4 0.084071316
10000000 8 0.083472543
10000000 16 0.077271454
10000000 32 0.083190631
